# Distance/nm	$\rho$	$I_{\text{CTF}}$	$I_{\text{CTF}} \otimes \sigma_{\text{detector}}$
-100	1	0.99894	1
-99.94999	1	0.99894	1
-99.89997	1	0.99896	1
-99.84996	1	0.99898	1
-99.79995	1	0.999	1
-99.74994	1	0.99904	1
-99.69992	1	0.99907	1
-99.64991	1	0.99912	1
-99.5999	1	0.99916	1
-99.54989	1	0.99921	1
-99.49987	1	0.99927	1
-99.44986	1	0.99932	1
-99.39985	1	0.99938	1
-99.34984	1	0.99943	1
-99.29982	1	0.99949	1
-99.24981	1	0.99954	1
-99.1998	1	0.99959	1
-99.14979	1	0.99964	1
-99.09977	1	0.99968	1
-99.04976	1	0.99972	1
-98.99975	1	0.99975	1
-98.94974	1	0.99978	1
-98.89972	1	0.9998	1
-98.84971	1	0.99982	1
-98.7997	1	0.99983	1
-98.74969	1	0.99983	1
-98.69967	1	0.99983	1
-98.64966	1	0.99981	1
-98.59965	1	0.9998	1
-98.54964	1	0.99977	1
-98.49962	1	0.99974	1
-98.44961	1	0.9997	1
-98.3996	1	0.99966	1
-98.34959	1	0.99962	1
-98.29957	1	0.99957	1
-98.24956	1	0.99952	1
-98.19955	1	0.99946	1
-98.14954	1	0.99941	1
-98.09952	1	0.99935	1
-98.04951	1	0.9993	1
-97.9995	1	0.99924	1
-97.94949	1	0.99919	1
-97.89947	1	0.99914	1
-97.84946	1	0.9991	1
-97.79945	1	0.99906	1
-97.74944	1	0.99902	1
-97.69942	1	0.99899	1
-97.64941	1	0.99897	1
-97.5994	1	0.99895	1
-97.54939	1	0.99894	1
-97.49937	1	0.99894	1
-97.44936	1	0.99894	1
-97.39935	1	0.99895	1
-97.34934	1	0.99896	1
-97.29932	1	0.99899	1
-97.24931	1	0.99902	1
-97.1993	1	0.99905	1
-97.14929	1	0.99909	1
-97.09927	1	0.99913	1
-97.04926	1	0.99918	1
-96.99925	1	0.99923	1
-96.94924	1	0.99929	1
-96.89922	1	0.99934	1
-96.84921	1	0.9994	1
-96.7992	1	0.99945	1
-96.74919	1	0.99951	1
-96.69917	1	0.99956	1
-96.64916	1	0.99961	1
-96.59915	1	0.99965	1
-96.54914	1	0.9997	1
-96.49912	1	0.99973	1
-96.44911	1	0.99977	1
-96.3991	1	0.99979	1
-96.34909	1	0.99981	1
-96.29907	1	0.99982	1
-96.24906	1	0.99983	1
-96.19905	1	0.99983	1
-96.14904	1	0.99982	1
-96.09902	1	0.99981	1
-96.04901	1	0.99979	1
-95.999	1	0.99976	1
-95.94899	1	0.99973	1
-95.89897	1	0.99969	1
-95.84896	1	0.99965	1
-95.79895	1	0.9996	1
-95.74894	1	0.99955	1
-95.69892	1	0.9995	1
-95.64891	1	0.99944	1
-95.5989	1	0.99938	1
-95.54889	1	0.99933	1
-95.49887	1	0.99927	1
-95.44886	1	0.99922	1
-95.39885	1	0.99917	1
-95.34884	1	0.99912	1
-95.29882	1	0.99908	1
-95.24881	1	0.99904	1
-95.1988	1	0.99901	1
-95.14879	1	0.99898	1
-95.09877	1	0.99896	1
-95.04876	1	0.99894	1
-94.99875	1	0.99893	1
-94.94874	1	0.99893	1
-94.89872	1	0.99894	1
-94.84871	1	0.99895	1
-94.7987	1	0.99897	1
-94.74869	1	0.99899	1
-94.69867	1	0.99902	1
-94.64866	1	0.99906	1
-94.59865	1	0.9991	1
-94.54864	1	0.99915	0.99999
-94.49862	1	0.9992	0.99999
-94.44861	1	0.99925	0.99999
-94.3986	1	0.99931	0.99999
-94.34859	1	0.99936	0.99999
-94.29857	1	0.99942	0.99999
-94.24856	1	0.99947	0.99999
-94.19855	1	0.99953	0.99999
-94.14854	1	0.99958	0.99999
-94.09852	1	0.99963	0.99999
-94.04851	1	0.99967	0.99999
-93.9985	1	0.99971	0.99999
-93.94849	1	0.99975	0.99999
-93.89847	1	0.99978	0.99999
-93.84846	1	0.9998	0.99999
-93.79845	1	0.99982	0.99999
-93.74844	1	0.99983	0.99999
-93.69842	1	0.99983	0.99999
-93.64841	1	0.99983	0.99999
-93.5984	1	0.99982	0.99999
-93.54839	1	0.9998	0.99999
-93.49837	1	0.99978	0.99999
-93.44836	1	0.99975	0.99999
-93.39835	1	0.99971	0.99999
-93.34834	1	0.99967	0.99999
-93.29832	1	0.99963	0.99999
-93.24831	1	0.99958	0.99999
-93.1983	1	0.99953	0.99999
-93.14829	1	0.99947	0.99999
-93.09827	1	0.99942	0.99999
-93.04826	1	0.99936	0.99999
-92.99825	1	0.9993	0.99999
-92.94824	1	0.99925	0.99999
-92.89822	1	0.9992	0.99999
-92.84821	1	0.99915	0.99999
-92.7982	1	0.9991	0.99999
